#Tag|VR|VM|Code|Description|Private Creator
#||||FCR Go � Flash IIP|897N100471
#||||Flash IIP � CR/DR Console|897N0547D (010-113-90)
#|||||
#|||||
#|||||
#|||||
@|Fuji CR||||
0x00090010|LO|1|K|Fuji Film Private Creator ID|FDMS 1.0
0x00091004|SH||X|Image Control Unit|FDMS 1.0
0x00091005|OW||X|Image UID|FDMS 1.0
0x00091006|OW||X|Route Image UID|FDMS 1.0
0x00091008|UL||KB|Image Display Information Version No.|FDMS 1.0
0x00091009|UL||X|Patient Information Version No.|FDMS 1.0
0x0009100C|OW||X|Film UID|FDMS 1.0
0x00091010|CS||K|Exposure Unit Type Code|FDMS 1.0
0x00091080|LO||X|Kanji Hospital Name|FDMS 1.0
0x00091090|ST||X|Distribution Code|FDMS 1.0
0x00091092|SH||X|Kanji Department Name|FDMS 1.0
0x000910F0|CS||K|Blackening Process Flag|FDMS 1.0
0x000910F1|ST||K|Processing Information Flag|FDMS 1.0
#|||||
0x00190010|LO|1|K|Fuji Private Creator ID|FDMS 1.0
0x00191015|LO||X|Kanji Body Part for Exposure|FDMS 1.0
0x00191032|LO||X|Kanji Menu Name|FDMS 1.0
0x00191040|CS||KB|Image Processing Type|FDMS 1.0
0x00191050|CS||K|EDR Mode|FDMS 1.0
0x00191060|SH||X|Radiographers Code|FDMS 1.0
0x00191070|IS||K|Split Exposure Format|FDMS 1.0
0x00191071|IS||K|No. of Split Exposure Frames|FDMS 1.0
0x00191080|IS||K|Reading Position Specification|FDMS 1.0
0x00191081|IS||K|Reading Sensitivity Center|FDMS 1.0
#|||||
0x00210010|LO|1|K|Fuji Private Creator ID|FDMS 1.0
0x00211010|CS||X|FCR Image ID|FDMS 1.0
0x00211030|CS||X|Set No.|FDMS 1.0
0x00211040|IS||X|Image No. In the Set|FDMS 1.0
0x00211050|CS||K|Pair Processing Information|FDMS 1.0
0x00211080|OB||X|Equipment Type-Specific Information|FDMS 1.0
#|||||
0x00250010|LO|1|K|Fuji Private Creator ID|FDMS 1.0
0x00251010|US||K|Relative Light Emission Amount Sk|FDMS 1.0
0x00251011|US||K|Term of Correction for Each IP Type St|FDMS 1.0
0x00251012|US||K|Reading Gain Gp|FDMS 1.0
#|||||
0x00290010|LO|1|K|Fuji Private Creator ID|FDMS 1.0
0x00291050|CS||K|Data Compression Code|FDMS 1.0
#|||||
0x50F10010|LO|1|K|Fuji Private Creator ID|FDMS 1.0
0x50F11006|CS||K|Energy Subtraction Param|FDMS 1.0
0x50F11007|CS||K|Subtraction Registration Result|FDMS 1.0
0x50F11008|CS||K|Energy Subtraction Param. 2|FDMS 1.0
0x50F11009|SL||K|Afin Conversion Coefficient|FDMS 1.0
0x50F1100A|SH||K|FNC Parameters|FDMS 1.0
0x50F11020|CS||K|Image Processing Modification Flag|FDMS 1.0
# GEMS/GE_CT.txt
#Tag|VR|VM|Code|Description|Private Creator|
#||||||
#||||||
#||||||
#||||HiSpeed QX/i 1.0  2342450-100 Rev. 0|2012.12.27|
#||||||
#||||"HiSpeed LX/i, FX/i, DX/i, DX/iB - 2.00/2.01/2.02  2227206 Rev. 0"||
#||||||
#||||"HiSpeed ZX/i, LX/i,FX/i,DX/i,DX/iB - 10.x, 11.x, 5144074 Rev 2"||
#||||"HiSpeed NX/i, NX/i Pro - 9.x, 11.x  2371419 Rev 3"||
#||||"HiSpeed NX/i, NX/i Pro -8.x, 7.x  2371419 Rev 1"||
#||||"HiSpeed NX/i -5.5x, NXi PRO -5.5x    2274762 Rev 2.1"||
#||||HiSpeed NX/i -5.0x    2274762 Rev 1.2||
#||||"HiSpeed ZX/i, LX/i,FX/i,DX/i,DX/iB - 6.xx  2227206 Rev 4.1"||
#||||"HiSpeed ZX/i, LX/i,FX/i,DX/i,DX/iB - 4.xx 2227206 Rev 3.3"||
#||||"HiSpeed LX/i, FX/i, DX/i, DX/iB - 2.5x/3.0x 2227206 Rev. 2.0"||
#||||||
#||||Discovery CT750_HD � Software Release 08MW39.4 DOC0500644r3_CS||
#||||Discovery CT750 HD - Software Release 11MW44.7 DOC1053442 Rev 1|2012.12.26|
#||||"Discovery CT750 HD - Software Release 10MW25.6   DOC0793025, REV 5"|2012.12.26|
#||||Discovery CT590 RT - Software Release 10BW06.5    DOC0636565r7_CS|2012.12.26|
#||||Discovery CT750 HD - Software Release 09MW29.14   DOC0636565r7_CS|2012.12.26|
#||||Discovery CT590 RT - Software Release 11BW04.8    DOC0860282 Rev 3|2012.12.26|
#||||Discovery CT590 RT - Software Release 09BW35.11    DOC0636565r4_CS|2012.12.26|
#||||||
#||||# LightSpeed 07x|2012.05.31|
#||||# LightSpeed 08x|2012.05.31|
#||||# LightSpeed VCT ME2PLUS|2012.07.06|
@|GE CT|||||
0x00090010|LO|1|K|GEHC Private Creator ID|GEMS_IDEN_01|
0x00091001|LO|1|X|Full fidelity|GEMS_IDEN_01|
0x00091002|SH|1|K|Suite id|GEMS_IDEN_01|
0x00091004|SH|1|K|Product ID|GEMS_IDEN_01|
0x00091017|UN|1|X|GEMS_IDEN_01 Undefined XX17|GEMS_IDEN_01|
0x0009101a|UN|1|X|GEMS_IDEN_01 Undefined XX1a|GEMS_IDEN_01|
0x00091020|UN|1|X|GEMS_IDEN_01 Undefined XX20|GEMS_IDEN_01|
0x00091027|SL|1|X|Image Actual Date|GEMS_IDEN_01|
0x0009102f|UN|1|X|GEMS_IDEN_01 Undefined XX2f|GEMS_IDEN_01|
0x00091030|SH|1|R|Service id|GEMS_IDEN_01|
0x00091031|SH|1|X|Mobile location number|GEMS_IDEN_01|
0x000910e2|UN|1|X|GEMS_IDEN_01 Undefined XXe2|GEMS_IDEN_01|
0x000910e3|UI|1|X|Equipment UID|GEMS_IDEN_01|
0x000910e6|SH|1|R|Genesis Version - now|GEMS_IDEN_01|
0x000910e7|UL|1|X|Exam Record checksum|GEMS_IDEN_01|
0x000910e9|SL|1|X|Actual series data time stamp|GEMS_IDEN_01|
#||||||
0x00110010|LO|1|X|GEHC Private Creator ID|GEMS_PATI_01|
0x00111010|SS|1|X|Patient Status|GEMS_PATI_01|
#||||||
0x00190010|LO|1|K|GEHC Private Creator ID|GEMS_ACQU_01|
0x00191002|SL|1|KB|Number of cells I in Detector|GEMS_ACQU_01|
0x00191003|DS|1|KB|Cell number at Theta|GEMS_ACQU_01|
0x00191004|DS|1|KB|Cell spacing|GEMS_ACQU_01|
0x0019100f|DS|1|KB|Horiz. Frame of ref.|GEMS_ACQU_01|
0x00191011|SS|1|KB|Series Contrast|GEMS_ACQU_01|
0x00191013|SS|1|KB|Start number for baseline|GEMS_ACQU_01|
0x00191014|SS|1|KB|End number for baseline|GEMS_ACQU_01|
0x00191015|SS|1|KB|Start number for enhanced scans|GEMS_ACQU_01|
0x00191016|SS|1|KB|End number for enhanced scans|GEMS_ACQU_01|
0x00191017|SS|1|KB|Series plane|GEMS_ACQU_01|
0x00191018|LO|1|R|First scan ras|GEMS_ACQU_01|
0x00191019|DS|1|KB|First scan location|GEMS_ACQU_01|
0x0019101a|LO|1|R|Last scan ras|GEMS_ACQU_01|
0x0019101b|DS|1|KB|Last scan loc|GEMS_ACQU_01|
0x0019101e|DS|3|KB|Display field of view|GEMS_ACQU_01|
0x00191023|DS|1|KB|Table speed [mm/rotation]|GEMS_ACQU_01|
0x00191024|DS|1|R|Mid scan time|GEMS_ACQU_01|
0x00191025|SS|1|KB|Mid scan flag|GEMS_ACQU_01|
0x00191026|SL|1|KB|Degrees of azimuth / Tube Azimuth [degree]|GEMS_ACQU_01|
0x00191027|DS|1|KB|Gantry period / Rotation Speed [msec]|GEMS_ACQU_01|
0x0019102a|DS|1|KB|x-ray On position|GEMS_ACQU_01|
0x0019102b|DS|1|KB|x-ray Off position|GEMS_ACQU_01|
0x0019102c|SL|1|KB|Number of triggers|GEMS_ACQU_01|
0x0019102e|DS|1|KB|Angle of first view|GEMS_ACQU_01|
0x0019102f|DS|1|KB|Trigger frequency|GEMS_ACQU_01|
0x00191039|SS|1|KB|Scan FOV type|GEMS_ACQU_01|
0x00191040|SS|1|KB|Stat recon flag|GEMS_ACQU_01|
0x00191041|SS|1|KB|Compute type|GEMS_ACQU_01|
0x00191042|SS|1|KB|Segment number|GEMS_ACQU_01|
0x00191043|SS|1|KB|Total segments requested|GEMS_ACQU_01|
0x00191044|DS|1|KB|Interscan delay|GEMS_ACQU_01|
0x00191047|SS|1|KB|View compression factor|GEMS_ACQU_01|
0x0019104a|SS|1|KB|Total no. of ref channels|GEMS_ACQU_01|
0x0019104b|SL|1|KB|Data size for scan data|GEMS_ACQU_01|
0x00191052|SS|1|KB|Recon post proc. Flag|GEMS_ACQU_01|
0x00191057|SS|1|KB|CT water number|GEMS_ACQU_01|
0x00191058|SS|1|KB|CT bone number|GEMS_ACQU_01|
0x0019105e|SL|1|KB|Number of channels (1�512)|GEMS_ACQU_01|
0x0019105f|SL|1|KB|Increment between channels|GEMS_ACQU_01|
0x00191060|SL|1|KB|Starting view|GEMS_ACQU_01|
0x00191061|SL|1|KB|Number of views|GEMS_ACQU_01|
0x00191062|SL|1|KB|Increment between views|GEMS_ACQU_01|
0x0019106a|SS|1|KB|Dependent on #views processed|GEMS_ACQU_01|
0x0019106b|SS|1|KB|Field of view in detector cells|GEMS_ACQU_01|
0x00191070|SS|1|KB|Value of back projection button|GEMS_ACQU_01|
0x00191071|SS|1|KB|Set if fatq estimates were used|GEMS_ACQU_01|
